id,text,target,questionable_label
56,Barbados #Bridgetown JAMAICA ÛÒ Two cars set ablaze: SANTA CRUZ ÛÓ Head of the St Elizabeth Police Superintende...  http://t.co/wDUEaj8Q4J,1,2
651,http://t.co/pTKrXtZjtV  Nashville Theater Attack: Will Gun Grabbers Now Demand ÛÏHatchet Control?Û,1,2
725,Christian Attacked by Muslims at the Temple Mount after Waving Israeli Flag via Pamela Geller - ... http://t.co/LHBZHWq4B9,1,2
876,USATODAY: On today's #frontpage: #Bioterror lab faced secret sanctions. #RickPerry doesn't make the cut for FoxNewÛ_ http://t.co/xFHh2XF9Ga,1,2
1567,@SwellyJetEvo Disneyland! Tacos there are bomb!,1,2
1591,@CyhiThePrynce bombed on Kanye in that #ElephantInTheRoom ????????,1,2
1815,Three-alarm fire destroys two residential buildings a car in Manchester N.H. on Sunday afternoon http://t.co/rVkyj3YUVK,1,2
2478,The 2 cars right in front of me collided and If I hadnt stopped in time it would've been me too. #ButGod ????,1,2
2597,AKILAH WORLD NEWS Cop pulls man from car to avoid this ... http://t.co/Vn2Fnmy7li,1,2
2675,Ron &amp; Fez - Dave's High School Crush https://t.co/aN3W16c8F6 via @YouTube,1,2
3131,Aircraft debris found on island is from MH370 Malaysia confirms http://t.co/X3RccHKagO,1,2
4778,Trafford Centre film fans angry after Odeon cinema evacuated following false fire alarm: Twitter users tell ofÛ_ http://t.co/PZeiXi4Xk7,1,2
4800,KATUNews: #SR14 remains closed as brush fire burns 1700 acres: http://t.co/QposKp3MWj #LiveOnK2 http://t.co/mTQjsvupwy,1,2
5713,I added a video to a @YouTube playlist http://t.co/bcjYleRRYX Ori and the Bind forest ep 6 'Fire and death',1,2
5955,CONFIRMED: Sanchez Hazard and Bolasie will be out for the rest of the season. https://t.co/7Ct01nEptL,1,2
8404,Watch This Airport Get Swallowed Up By A Sandstorm In Under A Minute http://t.co/rkU0IDM6aQ,1,2
9510,Anyone missing their license plate? Two stolen ones found on terrorist's car... http://t.co/CWGCciw3V6,1,2
9645,Severe Thunderstorm Warning including Midwest City OK Del City OK Choctaw OK until 10:30 PM CDT http://t.co/ogxSY4GWD1,1,2
10164,Violent Storm Causes Damage Flooding in Watertown - http://t.co/3ZASZ6wxjJ,1,2
10508,Dr. Bengston on #wildfire management: ÛÏnumbers and size of fires areas affected and costs of fighting them all show upward trend.Û #smem,1,2
